"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-6445","Everpure","cvelistV5/cves/2026/6xxx/CVE-2026-6445.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6445","Everpure","cvelistV5/cves/2026/6xxx/CVE-2026-6445.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6445","Everpure","cvelistV5/cves/2026/6xxx/CVE-2026-6445.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6444","Everpure","cvelistV5/cves/2026/6xxx/CVE-2026-6444.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6444","Everpure","cvelistV5/cves/2026/6xxx/CVE-2026-6444.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
